Grillsteaks, beef, chilled/frozen, grilled	306
Minestrone soup, dried	305
Lamb, loin chops, lean and fat, grilled	305
Crispbread, rye	303
Aubergine, fried in corn oil	303
Goose, roasted, meat, fat and skin	301
Walnuts, weighed with shells	300
Honeycomb	300
Beef, fore-rib/rib-roast, roasted, lean and fat	300
Malt bread, fruited	298
Lamb, shoulder, whole, roasted, lean and fat	298
Cheese, processed, plain	296
Choc ice	296
Gateau, chocolate based, frozen	295
Cheesecake, frozen	295
Black pudding, dry-fried	295
Rock Salmon/Dogfish, in batter, fried in blended oil	293
Rock Salmon/Dogfish, in batter, fried in dripping	293
Tongue, ox, pickled, stewed	293
Pork sausages, chilled, grilled	293
Saveloy, unbattered, takeaway	293
Elmlea, whipping	292
Lentils, green and brown, whole, dried, raw	292
Sultanas	292
Beefburgers, chilled/frozen, raw	291
Currant bread	290
Cornetto type ice cream cone	289
Raisins	289
Tongue, sheep, stewed	289
Mayonnaise, reduced calorie, retail	288
Pizza base, raw	287
Lamb, breast, raw, lean and fat	287
Bacon rashers, back, grilled	287
Lemon curd	286
Ginger, ground	285
Dried mixed fruit	285
Chicken pie, individual, chilled/frozen, baked	285
Naan bread	284
Currants	284
Currant buns	282
Reduced fat cake	281
Liquorice shapes	281
Sponge cake, with dairy cream and jam	280
Pork, trotters and tails, boiled	280
Lamb, stewing, stewed, lean and fat	279
Polony	279
Luncheon meat, canned	279
Chips, French fries, retail	277
Lamb, loin chops, lean and fat, raw	277
Beef sausages, chilled, grilled	277
Custard tarts, individual	276
Bacon rashers, streaky, raw	276
Bagels, plain	275
Pizza, cheese and tomato, thin base	274
Mung beans, whole, dried, raw	274
Jam, stone fruit	274
Advocaat	274
Rock Salmon/Dogfish, in batter, fried in blended oil, weighed with bones	273
Rock Salmon/Dogfish, in batter, fried in dripping, weighed with bones	273
Jam, fruit with edible seeds	273
Lamb, breast, roasted, lean	273
Scotch pancakes, retail	272
Mackerel, fried in blended oil	271
Ciabatta	270
Condensed milk, skimmed, sweetened	270
Pork, loin chops, raw, lean and fat	270
Chips, straight cut, frozen, fried in corn oil	269
Okra, stir-fried in corn oil	269
Meat samosas, takeaway	269
Pasta, plain, fresh, raw	268
All-Bran	268
Beef, brisket, boiled, lean and fat	268
Sponge pudding, canned	267
Treacle, black	267
Cheese spread, plain	266
Cheesecake, fruit, individual	266
Aduki beans, dried, raw	266
Brown bread, toasted	265
White bread, toasted	265
Cornish pastie, retail	265
Ham and pork, chopped, canned	264
Red kidney beans, dried, raw	263
White bread, French stick	262
Cherries, glace	262
Muffins, English style, white, toasted	261
Black gram, urad gram, dried, raw	261
White rolls, crusty	260
Tofu, soya bean, steamed, fried	260
Lamb, best end neck cutlets, grilled, lean and fat, weighed with bone	260
Pizza, cheese and tomato, takeaway	259
Torte, fruit	259
Pizza, ham and pineapple, chilled	257
Pork, loin chops, grilled, lean and fat	257
Cheeseburger, takeaway	257
Pitta bread, white	255
Lemon meringue pie	255
Wholemeal bread, toasted	254
Cream, dairy, UHT, canned spray	253
Beef, fore-rib/rib-roast, raw, lean and fat	253
Pizza, meat topped	252
Frozen ice cream desserts	252
White rolls, soft	251
Hazelnuts, weighed with shells	251
Quarterpounder with cheese, takeaway	250
Cheese, Feta	249
Gateau, fruit, frozen	248
Lamb, loin chops, grilled, lean and fat, weighed with bone	247
Pizza, cheese and tomato, deep pan	244
Wholemeal rolls	243
Pizza, chicken topped, chilled	243
Oxtail, stewed	243
Hamburger, takeaway	242
Dates, dried, weighed with stones	241
Bacon rashers, middle, raw	241
Spring rolls, meat, takeaway	241
White bread, farmhouse or split tin, freshly baked	240
Potato waffles, frozen, cooked	240
Figs, dried	240
Lamb, stewing, stewed, lean	240
Lamb, leg, whole, lean and fat, roast, medium	240
Whopper burger	240
Cream, sterilised, canned	239
Mixed peel	239
Mackerel, grilled	239
Vegetable and cheese grill/burger, in crumbs, baked/grilled	238
Lamb, best end neck cutlets, grilled, lean	238
Pork, belly joint/slices, raw, lean and fat, weighed with bone	238
Granary rolls	236
Cream, dairy, extra thick	236
Chips, retail, fried in dripping	236
Chips, retail, fried in vegetable oil	236
Beef, fore-rib/rib-roast, roasted, lean	236
Brown rolls, soft	235
Pizza, cheese and tomato, frozen	235
Lamb, shoulder, raw, lean and fat	235
Granary bread	234
Almonds, weighed with shells	233
Beef, sirloin joint, roasted, lean and fat	233
Chicken, thighs, casseroled, meat and skin	233
White bread, premium	230
Pork sausages, reduced fat, chilled/frozen, grilled	229
Vegetable kiev, baked	228
Beef, rump steak, lean and fat, fried	228
Big Mac	228
White bread, Danish style	227
Pizza, cheese and tomato, french bread	227
Cheese, processed, slices, reduced fat	226
Chocolate dairy desserts	226
Heart, lamb, roasted	226
Beef, mince, raw	225
Muffins, English style, white	224
Pizza, fish topped, takeaway	224
Beef, silverside, salted, boiled, lean and fat	224
Coffee and chicory essence	222
Beef, topside, roasted medium-rare, lean and fat	222
Crumble, fruit, retail	221
Figs, ready-to-eat	221
Wheatgerm bread	220
Mackerel, raw	220
Sardines, canned in oil, drained	220
Mackerel, grilled, weighed with bones and skin	220
Tongue, ox, pickled, raw	220
White bread, sliced	218
Chips, microwave, cooked	218
Beef, brisket, raw, lean and fat	218
Lamb, shoulder, whole, roasted, lean	218
Wholemeal bread, average	217
Sweetbread, lamb, fried	217
Lamb, loin chops, raw, lean and fat, weighed with bone	216
Salmon, grilled	215
Pork, leg joint, lean and fat, roast, medium	215
Bacon rashers, back, raw	215
Samosas, vegetable, retail	214
Lamb, loin chops, grilled, lean	213
Pork, leg joint, lean and fat, raw	213
Pizza, vegetarian	212
Ice cream, non-dairy, reduced calorie	212
Partridge, roasted, meat only	212
Potato croquettes, fried in blended oil	211
Chicken, wing quarter, casseroled, meat and skin	210
Beef, mince, stewed	209
